uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,mentally_unhealthy_days,excessive_drinking,teen_birth_rate,uninsured,grad_rate,some_college,unemployed,children_in_poverty,single_parent_households,pcp_rate,date_time
114,010000800495,Discovery Middle School,100008.0,Madison City,2/5/2010,2009-2010,2010,1:45 PM,Friday,Madison,Alabama,public,1000,1,0,1,targeted,14.0,m,a,student,0.0,707.0,188.0,27.0,50.0,8.0,0.0,0.0,1,handgun,34.740322,-86.741148,54.5,7.0,9.0,176.0,Madison County,1,1089,22.0,3.32,10.67,37.3,16.3,72.09113100081369,38.13312304098704,3.7,16.4,10.013532916343474,97.57819576899999,2010-02-05 13:45:00
115,080480001315,Deer Creek Middle School,804800.0,Jefferson County School District No. R-1,2/23/2010,2009-2010,2010,3:14 PM,Tuesday,Littleton,Colorado,public,516,0,2,2,indiscriminate,32.0,m,w,unknown,0.0,436.0,7.0,46.0,23.0,4.0,0.0,0.0,0,rifle,39.5869,-105.102,28.2,7.0,8.0,60.0,Jefferson County,8,8059,21.0,2.89,17.35,27.1,14.5,79.36463311779589,36.54825800175778,4.7,11.1,7.936739021774473,94.25160965299999,2010-02-23 15:14:00
116,510300001255,Woodrow Wilson High School,5103000.0,Portsmouth City Pblc Schs,4/28/2010,2009-2010,2010,12:15 PM,Wednesday,Portsmouth,Virginia,public,1309,0,0,0,indiscriminate,15.0,m,b,student,0.0,446.0,818.0,22.0,19.0,4.0,0.0,0.0,0,handgun,36.815009,-76.381349,64.33,9.0,12.0,695.0,Portsmouth City,51,51740,12.0,3.09,11.32,73.7,10.2,56.02553870710296,18.546968268928683,5.2,23.5,13.895181219110382,75.40954327600001,2010-04-28 12:15:00
117,062271003364,South Gate High School,622710.0,Los Angeles Unified,5/18/2010,2009-2010,2010,7:51 AM,Tuesday,South Gate,California,public,3289,0,1,1,targeted,15.0,m,unknown,student,0.0,12.0,11.0,3251.0,3.0,10.0,0.0,2.0,0,unknown,33.954604,-118.209757,126.1,9.0,12.0,2373.0,Los Angeles County,6,6037,21.0,3.77,14.5,42.3,23.4,61.21274571972097,27.617149369221906,7.5,21.1,11.031119419501259,95.62509333,2010-05-18 07:51:00
118,470399001624,Sullivan Central High School,4703990.0,Sullivan County,8/30/2010,2010-2011,2010,9:10 AM,Monday,Blountville,Tennessee,public,1115,1,0,1,targeted,16.0,unknown,unknown,not a student,0.0,1097.0,7.0,6.0,3.0,1.0,0.0,1.0,1,handgun,36.531336,-82.387049,67.7,9.0,12.0,386.0,Sullivan County,47,47163,41.0,3.62,10.25,50.3,15.1,70.79347214406303,19.262041618160648,5.2,22.4,7.252463737681311,149.36765499,2010-08-30 09:10:00
119,450249000639,Socastee High School,4502490.0,Horry 01,9/21/2010,2010-2011,2010,2:00 PM,Tuesday,Conway,South Carolina,public,1453,0,1,1,targeted,14.0,m,w,student,0.0,1143.0,119.0,98.0,37.0,1.0,5.0,50.0,1,revolver,33.6788,-79.004328,80.8,9.0,12.0,678.0,Horry County,45,45051,22.0,3.64,15.54,57.8,24.6,74.44352844187965,20.64173284511865,7.2,23.2,11.080690546809645,62.962379978,2010-09-21 14:00:00
120,063398005332,Alisal High School,633980.0,Salinas Union High,10/1/2010,2010-2011,2010,7:53 AM,Friday,Salinas,California,public,2478,1,0,1,targeted,16.0,m,unknown,unknown,0.0,14.0,10.0,2420.0,28.0,1.0,5.0,0.0,0,unknown,36.686184,-121.59596100000002,999.0,3.0,12.0,1869.0,Monterey County,6,6053,12.0,3.41,11.37,57.0,23.5,60.07506914263138,23.594745875960747,8.5,16.8,10.400657290609443,74.304475549,2010-10-01 07:53:00
121,060750000711,Kelly Elementary School,607500.0,Carlsbad Unified,10/8/2010,2010-2011,2010,12:00 PM,Friday,Carlsbad,California,public,477,0,2,2,indiscriminate,41.0,m,w,not a student,0.0,314.0,12.0,67.0,36.0,3.0,0.0,45.0,0,revolver,33.14836,-117.311227,999.0,0.5,5.0,45.0,San Diego County,6,6073,12.0,3.36,17.05,38.1,21.6,76.6965763568255,33.22651931344662,6.0,14.9,9.006517628312809,94.364957152,2010-10-08 12:00:00
122,550870000995,Marinette High School,5508700.0,Marinette School District,11/29/2010,2010-2011,2010,1:30 PM,Monday,Marinette,Wisconsin,public,690,0,0,0,suicide,15.0,m,w,student,1.0,658.0,4.0,17.0,2.0,8.0,1.0,0.0,0,handgun,45.084351,-87.629512,44.69,9.0,12.0,283.0,Marinette County,55,55075,41.0,2.85,24.84,28.6,9.9,83.80782918149467,14.133885899535446,5.9,15.8,10.874880408206655,74.52258966,2010-11-29 13:30:00
123,317374001251,Millard South High School,3173740.0,Millard Public Schools,1/5/2011,2010-2011,2011,12:45 PM,Wednesday,Omaha,Nebraska,public,2043,1,2,3,targeted,17.0,m,b,student,1.0,1668.0,79.0,186.0,32.0,12.0,6.0,60.0,0,handgun,41.203481,-96.146049,135.5,9.0,12.0,475.0,Douglas County,31,31055,11.0,2.7,20.0,45.7,13.3,80.0,69.7,5.1,15.0,32.4,160.21085816,2011-01-05 12:45:00
124,062271003034,Gardena High School,622710.0,Los Angeles Unified,1/18/2011,2010-2011,2011,10:40 AM,Tuesday,Los Angeles,California,public,2299,0,2,2,accidental,17.0,m,unknown,student,0.0,22.0,610.0,1490.0,140.0,9.0,0.0,0.0,0,handgun,33.866372,-118.29633,999.0,8.0,12.0,1556.0,Los Angeles County,6,6037,13.0,3.7,15.8,40.7,28.0,60.0,55.2,11.6,21.8,33.2,93.371130354,2011-01-18 10:40:00
125,063078004786,Louisiana Schnell Elementary School,630780.0,Placerville Union Elementary,2/2/2011,2010-2011,2011,10:37 AM,Wednesday,Placerville,California,public,424,1,0,1,targeted,44.0,m,w,not a student,0.0,259.0,2.0,121.0,3.0,8.0,0.0,31.0,0,revolver,38.735106,-120.779419,999.0,0.5,5.0,264.0,El Dorado County,6,6017,32.0,2.6,18.9,21.2,18.6,85.0,67.8,11.3,10.3,22.6,80.22190962,2011-02-02 10:37:00
126,180651001136,Martinsville West Middle,1806510.0,M S D Martinsville Schools,3/25/2011,2010-2011,2011,7:00 AM,Friday,Martinsville,Indiana,public,584,0,1,1,targeted,15.0,m,w,former student,0.0,555.0,0.0,13.0,2.0,2.0,0.0,12.0,0,handgun,39.420621,-86.427053,38.97,6.0,8.0,354.0,Morgan County,18,18109,31.0,3.5,19.2,42.4,13.8,70.0,49.0,8.9,14.6,24.9,45.083122006,2011-03-25 07:00:00
127,120144003884,Sheeler Charter High School,1201440.0,Orange,4/13/2011,2010-2011,2011,12:00 PM,Wednesday,Apopka,Florida,public,465,0,1,1,accidental,17.0,m,b,unknown,0.0,104.0,250.0,101.0,2.0,1.0,0.0,7.0,1,unknown,28.673157,-81.494124,7.0,9.0,12.0,183.0,Orange County,12,12065,21.0,3.1,7.6,59.0,25.4,35.0,44.8,8.1,22.9,44.3,21.456157917,2011-04-13 12:00:00
128,482364002572,Ross Elementary School,4823640.0,Houston ISD,4/19/2011,2010-2011,2011,10:20 AM,Tuesday,Houston,Texas,public,462,0,2,2,accidental,6.0,m,unknown,student,0.0,1.0,301.0,145.0,2.0,9.0,1.0,3.0,0,handgun,29.800326,-95.341835,27.32,0.0,5.0,263.0,Harris County,48,48201,11.0,3.0,17.6,63.7,35.9,65.0,52.3,7.6,22.6,32.9,84.10788117,2011-04-19 10:20:00
129,370001100402,Cape Fear High School,3700011.0,Cumberland County Schools,10/24/2011,2011-2012,2011,1:00 PM,Monday,Fayetteville,North Carolina,public,1575,0,1,1,targeted,15.0,m,unknown,student,0.0,913.0,437.0,83.0,9.0,71.0,3.0,59.0,0,rifle,35.034044,-78.762384,93.86,9.0,12.0,690.0,Cumberland County,37,37051,41.0,3.7,11.1,57.2,18.6,80.0,66.5,9.2,22.5,40.7,86.904463027,2011-10-24 13:00:00
130,481168000648,Cummings Middle School,4811680.0,Brownsville ISD,1/4/2012,2011-2012,2012,8:00 AM,Wednesday,Brownsville,Texas,public,746,1,0,1,targeted,16.0,m,unknown,not a student,0.0,3.0,0.0,742.0,0.0,1.0,0.0,0.0,0,unknown,25.913899,-97.493734,49.47,6.0,8.0,0.0,Cameron County,48,48061,12.0,3.3,17.2,88.1,36.6,83.2,42.79138827,11.2,48.5,34.12462227,58.330164147,2012-01-04 08:00:00
