uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,mentally_unhealthy_days,excessive_drinking,teen_birth_rate,uninsured,grad_rate,some_college,unemployed,children_in_poverty,single_parent_households,pcp_rate
114,010000800495,Discovery Middle School,100008.0,Madison City,2/5/2010,2009-2010,2010,1:45 PM,Friday,Madison,Alabama,public,1000,1,0,1,targeted,14.0,m,a,student,0.0,,,,,,,,707.0,188.0,27.0,50.0,8.0,,,1,.22-caliber handgun,friend's home,34.740322,-86.741148,54.5,7,9,176.0,Madison County,1,1089,22.0,3.32,10.67,37.3,16.3,72.09113100081368,38.133123040987044,3.7,16.4,10.013532916343472,97.578195769
115,080480001315,Deer Creek Middle School,804800.0,Jefferson County School District No. R-1,2/23/2010,2009-2010,2010,3:14 PM,Tuesday,Littleton,Colorado,public,516,0,2,2,indiscriminate,32.0,m,w,,0.0,,,,,,,,436.0,7.0,46.0,23.0,4.0,,,0,.30-06 bolt-action hunting rifle,,39.5869,-105.102,28.2,7,8,60.0,Jefferson County,8,8059,21.0,2.89,17.35,27.1,14.5,79.36463311779589,36.54825800175778,4.7,11.1,7.936739021774472,94.251609653
116,510300001255,Woodrow Wilson High School,5103000.0,Portsmouth City Pblc Schs,4/28/2010,2009-2010,2010,12:15 PM,Wednesday,Portsmouth,Virginia,public,1309,0,0,0,indiscriminate,15.0,m,b,student,0.0,,,,,,,,446.0,818.0,22.0,19.0,4.0,,,0,handgun,,36.815009,-76.381349,64.33,9,12,695.0,Portsmouth City,51,51740,12.0,3.09,11.32,73.7,10.2,56.02553870710295,18.546968268928683,5.2,23.5,13.895181219110379,75.409543276
117,062271003364,South Gate High School,622710.0,Los Angeles Unified,5/18/2010,2009-2010,2010,7:51 AM,Tuesday,South Gate,California,public,3289,0,1,1,targeted,15.0,m,,student,0.0,,,,,,,,12.0,11.0,3251.0,3.0,10.0,0.0,2.0,0,,,33.954603999999996,-118.20975700000001,126.1,9,12,2373.0,Los Angeles County,6,6037,21.0,3.77,14.5,42.3,23.4,61.212745719720985,27.617149369221902,7.5,21.1,11.031119419501259,95.62509333
118,470399001624,Sullivan Central High School,4703990.0,Sullivan County,8/30/2010,2010-2011,2010,9:10 AM,Monday,Blountville,Tennessee,public,1115,1,0,1,targeted,,,,police officer,0.0,,,,,,,,1097.0,7.0,6.0,3.0,1.0,0.0,1.0,1,handgun,department issued,36.531335999999996,-82.387049,67.7,9,12,386.0,Sullivan County,47,47163,41.0,3.62,10.25,50.3,15.1,70.79347214406303,19.26204161816065,5.2,22.4,7.252463737681311,149.36765499
119,450249000639,Socastee High School,4502490.0,Horry 01,9/21/2010,2010-2011,2010,2:00 PM,Tuesday,Conway,South Carolina,public,1453,0,1,1,targeted,14.0,m,w,student,0.0,,,,,,,,1143.0,119.0,98.0,37.0,1.0,5.0,50.0,1,revolver,parent,33.6788,-79.004328,80.8,9,12,678.0,Horry County,45,45051,22.0,3.64,15.54,57.8,24.6,74.44352844187964,20.641732845118646,7.2,23.2,11.080690546809643,62.962379978
120,063398005332,Alisal High School,633980.0,Salinas Union High,10/1/2010,2010-2011,2010,7:53 AM,Friday,Salinas,California,public,2478,1,0,1,targeted,,m,,,0.0,,,,,,,,14.0,10.0,2420.0,28.0,1.0,5.0,0.0,0,,,36.686184000000004,-121.59596100000002,,3,12,1869.0,Monterey County,6,6053,12.0,3.41,11.37,57.0,23.5,60.07506914263138,23.594745875960744,8.5,16.8,10.400657290609443,74.304475549
121,060750000711,Kelly Elementary School,607500.0,Carlsbad Unified,10/8/2010,2010-2011,2010,12:00 PM,Friday,Carlsbad,California,public,477,0,2,2,indiscriminate,41.0,m,w,none,0.0,,,,,,,,314.0,12.0,67.0,36.0,3.0,0.0,45.0,0,.357-caliber Magnum revolver,,33.14836,-117.311227,,KG,5,45.0,San Diego County,6,6073,12.0,3.36,17.05,38.1,21.6,76.6965763568255,33.22651931344662,6.0,14.9,9.006517628312809,94.364957152
122,550870000995,Marinette High School,5508700.0,Marinette School District,11/29/2010,2010-2011,2010,1:30 PM,Monday,Marinette,Wisconsin,public,690,0,0,0,hostage suicide,15.0,m,w,student,1.0,suicide,,,,,,,658.0,4.0,17.0,2.0,8.0,1.0,0.0,0,handgun,,45.084351,-87.629512,44.69,9,12,283.0,Marinette County,55,55075,41.0,2.85,24.84,28.6,9.9,83.80782918149467,14.133885899535443,5.9,15.8,10.874880408206655,74.52258966
123,317374001251,Millard South High School,3173740.0,Millard Public Schools,1/5/2011,2010-2011,2011,12:45 PM,Wednesday,Omaha,Nebraska,public,2043,1,2,3,targeted and indiscriminate,17.0,m,b,student,1.0,suicide,,,,,,,1668.0,79.0,186.0,32.0,12.0,6.0,60.0,0,Smith & Wesson Glock .40-caliber handgun,father,41.203481,-96.146049,135.5,9,12,475.0,Douglas County,31,31055,11.0,2.7,20.0,45.7,13.3,80.0,69.7,5.1,15.0,32.4,160.21085816
